,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
324,"Bright & Well Maintained Apartment Basement With Separate Entrance.  2 Bedrooms W/Windows,  Ensuite 3 Pcs Washrooms, Washer & Dryer, Pot Lights, And Parking Spot On The Driveway. Minutes To Ttc, Schools, Supermarket, Library, Parks & Restaurants. Ready To Move In Anytime.**** EXTRAS **** Fridge, Stove, Washer & Dryer.  One Parking Include On Driveway. Tenant Is Responsible For Share Of 1/3 Utilities With Owner. (30437446)",2,House,"37 ALVIN CURLING CRES|Toronto, Ontario M1V0E7","$1,600/Monthly",Single Family,Freehold,1
325,"Newly Renovated One Bedroom, Living & Dining, Kitchen, 1 Bathroom & Tub. Bedroom Has A Walk In Storage Room, Separate Entrance.  Open Concept Living And Dining Area. Laundry Room With Washer And Dryer, Must See Beautiful Kitchen With New Appliances, Gas Stove.  Hrv Unit Providing Fresh Air To Your Home, Spray Foam Insulation And New Windows For Optimal Temperature In Winter And Summer With Air Conditioning.  Private Front Porch And Backyard Parking In Lane Or Street With Permit.  Steps To Danforth's Restaurants And One Block To Newly Renovated Woodbine Subway Station. In The Beautiful Strathmore Blvd This Nice And Quiet Family Oriented Neighbourhood, Close To 2 Great Parks.  Includes Utilities. One Year Lease Required. Please Attach References And Credit Report. Employment Letter To Offer. Non Smoker/Pets Allowed. Don't Miss This Rental Opportunity! Must See!  Immediate Occupancy.**** EXTRAS **** Gas Bbq Line Available And Other Add Ons. *For Additional Property Details Click The Brochure Icon Below* (30443226)",1,House,"#BSMT -485 STRATHMORE BLVD|Toronto, Ontario M4C1N8","$1,600/Monthly",Single Family,Freehold,1
326,"Great Neighborhood,Separate Entrance,  New Renovated 2 Bedroom With Bright Large Living/Dining Basement Apartment, New Painting, New Floor, New Kitchen, Quartz Counter, Backsplash. 1 Minute Walk To T.T.C., Convenient Location Close To Schools, Restaurants & Plaza. Walking Distance To Alexmuir Park. Minutes Pacific Mall & Hwy401.**** EXTRAS **** Fridge, New Stove. Hood Fan, New Washer. All Light Fixtures. No  Smoking & No Pets. Tenant Pays 1/3 Of Utilities.*1 Parking Spot Available* (30441081)",2,Row / Townhouse,"#LOWER -87 VALDOR  DR|Toronto, Ontario M1V1R3","$1,600/Monthly",Single Family,Freehold,1
327,"Stunning 1 Bedroom Basement, Has A Great And Functional Layout, Spacious Kitchen & Much More. 1 Good Sized Bedroom With Closet. Lots Of Light And Is Close To All Amenities Including, Parks, Schools, Transit And Stores Home On A Premium Trail Lot!  Entry From The Garage.**** EXTRAS **** All Elf's, Window Coverings, Appliances Fridge, Stove, Dishwasher, Washer And Dryer (30446368)",1,House,"223 GARDENBROOKE (LOWER) TR|Brampton, Ontario L6P3C9","$1,600/Monthly",Single Family,Freehold,1
328,"Bright And Beautifully Renovated Basement Apt With A Large Master Bedroom In One Of The Best Neighbourhood Of Aurora Is Available Immediately , Close To Yonge St,Transit, Shops And Restaurants . One Parking Space On Driveway And Utilities Are Included In The Lease. No Pet No Smoking Please.**** EXTRAS **** All Light Fixtures, Fridge , Stove, Washer/ Dryer. One Parking Space On Driveway . (30439625)",1,House,"#BSMT -93 RICHARDSON DR|Aurora, Ontario L4G1Z4","$1,600/Monthly",Single Family,Freehold,
329,"Newly Renovated 2 Bedrooms Bungalow With Ensuite Laundry (Will Be Installed In Utility Room Before Tenant Moving In) In Popular Newmarket Area. New Laminate Flooring Throughout. Fresh Paint. Mins To Schools, Parks, Upper Canada Mall, Southlake Regional Health Centre, Newmarket Go Train & Hwy 404. Tenant Pays 40% Of All Utilities. Move In Ready.**** EXTRAS **** All Existing Appliance, All Existing Windows Coverings (30447892)",2,House,"#BSMT -49 LONGFORD DR|Newmarket, Ontario L3Y2Y6","$1,600/Monthly",Single Family,Freehold,
330,"Functional Layout Basement Apartment With 2 Bedroom, 3Pc Bath And Separate Entrance Located In The Community Of Berzcy Markham. Tenant Pays 30% Utilities Bill, Walking Distance To Top Ranking Pierre Elliott Trudeau High School, Castlemore Public School. Close To Go Train, Shopping Centres, Supermarkts, Hwy 7, 404, 407.**** EXTRAS **** Window Coverings, Stove, Hood, Washer, Hot Water Tank(Rental). Security System Front& Back. (30420278)",2,House,"23 COURTFIELD CRES|Markham, Ontario L6C2R8","$1,600/Monthly",Single Family,Freehold,1
331,"Don't Miss Your Opportunity To Live In This Brand New, Never Before Lived In Fabulous Flat In Beautiful Bowmanville. Welcome To Lakebreeze East Village's Shoreview Model. Brand New Appliances, Freshly Cleaned, Painted, And Awaiting Its First Ever Tenant. Highly Sought After Location Closeby To Amenities, Parks, Marina, Schools, & Highway 401-- Ideal For Commuters Or Profesionals. Steps To Waters Edge, Beach, & Walking Trails. Book Your Showing Today!**** EXTRAS **** Includes Stainless Steel Fridge, Stove, Dishwasher, Stackable Laundry, Ac. Tenant Pays All Utilities Including Water And Water Heater Rental. (30428241)",1,Row / Townhouse,"#A -23A LOOKOUT DR|Clarington, Ontario L1C7G1","$1,600/Monthly",Single Family,Freehold,
332,"Legal Basement Apt. (1 Year New, 1 Bedroom) In The Beautiful Rolling Acres Area For Rent From Sep 1, 2022. This Apt. Comes With An Open Concept Kitchen Equipped With New Appliances, A Breakfast Bar, Quartz Countertop, Marble Backsplash, Laminate Floor, A Living Dining Area Full Of Natural Lights, And A Private Walk-Up Entrance. Fantastic Landlords Would Like To Have Great Tenants For A Longer-Term. See It Today To Feel The Charm Of The Area & The House**** EXTRAS **** Legal Basement Comes W/All Safety-Nets, Get Ready To Call This Lovely Apartment Your Home! Included: Fridge, Stove, Washer-Dryer (Shared), All Elfs, 1 Driveway Parking. Tenants To Pay 35% Of The Utilities (30429748)",1,House,"#BSMT -25 GABRIELLE CRES|Whitby, Ontario L1R3M6","$1,600/Monthly",Single Family,Freehold,
333,"Bright Spacious Bungalow Basement Apartment With 2 Br With Ensuite Washer And Dryer ! New Kitchen & New Washroom , Upper Level Will Be Rented Out Separately. Separate Laundry For Lower Level. Walking Distance Schools, Parks, Banks, Shopping Areas, Tenant Pays 40% Utilities. With One Parking.**** EXTRAS **** Stove, Fridge, Washer And Dryer. (30437385)",2,House,"#BSMT -607 WYCHWOOD ST|Oshawa, Ontario L1G2T4","$1,600/Monthly",Single Family,Freehold,
334,"Bright, Newly Renovated 1 Bdrm + Den Basement W Separate Entrance And Your Own Laundry! Open Concept Layout W Large Den. Modern Design With Pot Lights Throughout, Luxury Vinyl Flooring & Stainless Steel Appliances. Amazing Neighbourhood Surrounded By Parks, Trails, Lakes, Schools, Transit. Within 10 Minutes To Lake Wilcox Park And Hwy 404 & Hwy 400! 1 Parking Incl.**** EXTRAS **** S/S Fridge, Washer, Dryer, Range Hood, 1 Parking Spot. Tenant Pays 1/3 Of The House Utility Bills And Tenant Will Be Responsible For Snow Removal Of Their Own Walkway And Parking. (30438485)",1 + 1,House,"#BSMT -49 PORTAGE AVE|Richmond Hill, Ontario L4E2Z5","$1,600/Monthly",Single Family,Freehold,
335,"Gorgeous 1 Bedroom Basement Apartment Plus Den. Modern Open Concept Design. Laminate Flooring Throughout. Lovely Kitchen With Undercabinet Lighting & Pot Lights. Spacious Living Room With Pot Lights. Stunning 4Pce Bath With Ceramic Tiles, Deep Soaker Tub, And Ensuite Laundry.  1 Parking Spot In Driveway, Separate Side Entrance. Excellent Neighbourhood. Looking For Aaa+ Tenants. **No Pets & No Smoking, The Den Is Not To Be Used As A Second Bedroom Per Landlord's Preference.**  Tenant Must Maintain Content And Liability Insurance.  Perfect For Working Professional.  Tenant Will Have No Use Of Backyard.**** EXTRAS **** Stainless Steel Stove And Fridge, Storage Under The Stairs. Tenant To Pay 30% Of All Utilities. Legal Basement Apartment. 1 Additional Parking Spot Is Available At A Cost To Be Negotiated. 1st/Last Month Plus 10 Post Dated Cheques Required. (30288710)",1 + 1,House,"#BSMT -42 MISTYCREEK CRES|Brampton, Ontario L7A3E8","$1,600/Monthly",Single Family,Freehold,
336,"Welcome To This 1 Bedroom Plus Den Apartment Oasis Located On A 100 Acre Farm In The Countryside.  Update Kitchen And Stainless Steel Appliances, Laminate Floors, Very Large Bathroom, Good Size Bedroom And Den. Apartment Comes With Washer And Dryer.  The Apartment Also Comes With A Good Size Front Yard And Backyard.  Workable Land Not Included In Rent.**** EXTRAS **** Washer, Dryer, Fridge , Stove, Built In Microwave (30306510)",1 + 1,Other,"151507 12TH LINE|East Garafraxa, Ontario L0N1G0","$1,600/Monthly",Single Family,,
337,"Newly Renovated 1+Den Basement Apartment In Highly Desirable Family Friendly Neighbourhood. Fenced Back Yard. Close To Schools And Shopping. With Separate Entrance Located In The Back Of The House. Clean & Safe With One Parking Spot Included On Driveway. New Kitchen And Laminate Floors. The Tenant Acknowledges That The Removal Of Snow From The Stairs And Path Leading To The Entrance Of The Premises Is The Responsibility Of The Tenant.**** EXTRAS **** Includes: Fridge, Stove, Microwave,(No Dishwasher), Washer & Dryer (Shared With Other Tenant) And All Elf's. Utilities Included And Wi-Fi Is Included But The Landlord Cannot Guarantee The Strength Of The Wi-Fi Signal To The Unit. (30323026)",1 + 1,House,"#LOWER 2 -156 ATHERTON AVE|Ajax, Ontario L1T0H8","$1,600/Monthly",Single Family,Freehold,1
338,"Must See! Very Bright & Spacious, 1 Bedroom Basement Apartment. Features Include  Separate Entrance, A Large Window In The Kitchen, Lots Of Light, 4 Appliances Including Your Own Laundry, Central Air Conditioning, And 1 Parking Space. Located In Sonoma Heights, A Well-Sought Neighbourhood With All Amenities Close At Hand. Steps To Local Transit. No Smoking, No Pets, Please.**** EXTRAS **** Private Parking, Separate Entrance, All 4 Appliances, Central A/C, Great Location! (30319874)",1,House,"150 FONTESELVA AVE|Vaughan, Ontario L4H2H9","$1,600/Monthly",Single Family,Freehold,1
339,"Location, Location, Location! Situated On The Corner Of Leuty And Queen East, This Lovely Studio Apartment Is Steps From The Beach And Every Other Amenity You Will Ever Need. Showcasing A Bright Living/Bedroom Area And Functional Kitchen. The Perfect Space For Those Always On The Go!**** EXTRAS **** Existing Fridge, Stove, Hood Fan, Existing Light Fixtures, Laundry In Building. (30324810)",0,House,"#B1 -98 LEUTY AVE|Toronto, Ontario M4E2R4","$1,600/Monthly",Single Family,Freehold,
340,"A New Beautiful Two Bedroom Bsmt Apartment With Separate Entrance. Family-Friendly Neighborhood In West Hill Community! 5 Mins Walking Distance To Transit, Close To University Of Toronto, Centennial College, Park, School, School, Shopping And Many More Amenities.!**** EXTRAS **** S/S Fridge, Stove & Washer/Dryer. Tenant Is Responsible For Tenant Insurance, Snow Removal Of Their Walk Way To The Bsmt. 30% Utilities (Water, Gas, Electricity) (30183726)",2,House,"#BSMT -86 PLUMROSE BLVD|Toronto, Ontario M1E5J7","$1,600/Monthly",Single Family,Freehold,1
341,"Unique, Modern, Fully Renovated, 2 Level Apartment In Upcoming Area. Steps To Lake, Park And Transit. Private Entrance, Parking, Ensuite Laundry. High Ceilings, Pot Lites, Open Concept, Amazing Kitchen W/ Granite Counter & Breakfast Bar, Stainless Steel Appliances. Porcelain Floors, Large Master Bed W/ Sitting Area & 3 Pc Ensuite. Well Laid Out, Good Sized Unit. Rear Entrance From Laneway. Suits Single Professional. Furniture And Basic Kitchen Items Included.**** EXTRAS **** Fridge, Stove, Microwave, Dishwasher, Clothes Washer/Dryer. Utilities Included Except Tenant To Pay Any Hydro Costs Over $75 (Separate Meter),Parking Inc. No Smoking, No Pets Preferred. Landlord Willing To Remove Some Furniture If Requested (30231909)",1,Duplex,"#REAR -1547 KINGSTON RD|Toronto, Ontario M1N1R9","$1,600/Monthly",Single Family,,
342,"Newly Finished Large 1200 Sqft Finished Basement With Separate Entrance In High Demand Vellore Village Of Vaughan. Jane And Major Mackenzie, Close To All Shopping Amenities And More. Basement Has Breakfast Area, Kitchen, 1 Room, Family Room, And Brand New Washroom. Modern Look, Separate Entrance And Laundry, Tenant To Pay 30% Utilities. Students Welcome. 1 Parking Only.**** EXTRAS **** Newly Finished Large Finished Basement With Separate Entrance And Laundry. 1 Parking Only. (30218488)",1 + 1,Other,"#BSMT -36 WINDWARD CRES|Vaughan, Ontario L6A3G5","$1,600/Monthly",Single Family,,1
343,"Legal Basement Apartment With Separate Entrance. Close To All Amenities.**** EXTRAS **** S/S Fridge. S/S Stove, Dishwasher, Microwave. Tenant Has To Pay 40% Of Utilities. Shared Laundry. (30213958)",2,House,"#BSMT -34A GILLINGHAM ST|Toronto, Ontario M1B5X1","$1,600/Monthly",Single Family,Freehold,1
344,"What A Location!! Two Years Old House. Living Room, Kitchen Quartz Countertop & Stainless Steel Appliances. Two B/R & 4Pcs Washroom. 1 Parking Available. Lots Of Pot Lights.   Close To Public Transit (Ttc,Yrt,407), School, Costco, Canadian Tire, No Frills, Walmart, Banks. Don't Miss It.**** EXTRAS **** Brand New Basement , S/S Fridge, S/S Stove & Washer/Dryer, Separate Laundry, No Smoke,100% Vegetarians. (30263991)",1 + 1,House,"#BSMT -49 TITAN TR|Markham, Ontario L3S0E2","$1,600/Monthly",Single Family,Freehold,1
345,"Location..Location...Location... Very Clean, Upgraded & Well Maintained Bungalow In The Heart Of Downtown Whitby. Features 2Br, 1Wr,1 Kitchen With Spacious Living Area & Dining  With Tons Of Area Amenities Walking Distance. Just Minutes Drive/Walk From Highway 401, Grocery, Schools, Parks, Go Train & Many Other Area Amenities. Tenants Responsible For Portion Of Utilities (Depending On # Of Ppl), Lawn Cut And Snow Removal. This Listing Is For Basement Only.**** EXTRAS **** Appl:1 Fridge,1 Stove,(Washer/Dryer Shared). Easy 30Min. Showing Any Time. Plz Turn Off Lights, Lock All Doors & Put Key Back In Lbx. Att. Sch. B & C To All Offers. (30261377)",2,House,"#(BSMT) -601 COLBORNE ST E|Whitby, Ontario L1N1W8","$1,600/Monthly",Single Family,Freehold,1
346,"Freshly Painted & Professionally Cleaned. Spacious Suite In High Park. Home Is Full Of Character, High Ceilings, One Bedroom, One Bathroom And Charming Kitchen. Walking Distance To High Park, Bloor West, Roncesvalles Village, Ttc, Shared Washer And Dryer.**** EXTRAS **** Existing Elfs, Appliances And Tenant Pays Hydro. (30359540)",1,Fourplex,"##5 -211 HOWARD PARK AVE|Toronto, Ontario M6R1V9","$1,600/Monthly",Single Family,,
347,"Rarely-Offered Stunning Home In The Heart Of Prestigious Yonge & Eglinton. Spacious 1-Bedroom Unit. W/Full4-Pc Bathroom, Private Entrance, & Exceptional Natural Lighting From Windows. Beautifully Designed Open-Concept Living Area. Naturally-Lit Full Kitchen With Breakfast Bar, True Toronto Living In The Epicenter Of Midtown Toronto; Quiet & Picturesque Family-Oriented Neighbourhood Steps From An Abundance Of World Class Shops, Restaurants, & Services. Hydro, Water And Heat Are Included In Price.**** EXTRAS **** Rec Centre, Eg Park, Ttc Across The Street ; Quick Access To Allen Rd & Hwy 401/400. Parking & Locker Available Separately. No Pets As Resident's Allergic/Medical Condition. (30343635)",0,House,"#B -485 ORIOLE PKWY|Toronto, Ontario M5P2H9","$1,600/Monthly",Single Family,Freehold,
348,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943436)",1,Apartment,"#718 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
349,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943480)",1,Apartment,"#921 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
350,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943506)",1,Apartment,"#1004 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
351,"** Great Location **. Larger Unit 1 Bedroom + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566551)",1,Apartment,"#617 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
352,"** Great Location **. Larger Unit 1 Bedroom + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566555)",1,Apartment,"#1517 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
353,"A Walkout Basement In High Desirable Community In Markham. 2 Bedrooms ,1 Washroom , 1 Car Parking Space, Backing Onto Park, Excellent Location For Transit,401,407, School, Groceries, Mosque, Temple, Church, Community Center, Hospital & Park And More. New Floors, New Washer And Dryer**** EXTRAS **** Main Floor Is Not Included In This Lease. 30% Of Utilities For Water/Hydro/Gas/Hot Water Tank Also Responsible For Snow Removal, Yard Maintenance. Tenant Insurance Must Required, One Parking Space Included. (30108886)",2,Other,"#BSMT -214 DOUBTFIRE CRES|Markham, Ontario L3S3V7","$1,600/Monthly",Single Family,,1
354,"Legal Basement Apartment With Separate Entrance. Close To All Amenities.**** EXTRAS **** S/S Fridge. S/S Stove, Dishwasher, Microwave. Tenant Has To Pay 40% Of Utilities. Shared Laundry. (30213958)",2,House,"#BSMT -34A GILLINGHAM ST|Toronto, Ontario M1B5X1","$1,600/Monthly",Single Family,Freehold,1
355,"Newly Finished Large 1200 Sqft Finished Basement With Separate Entrance In High Demand Vellore Village Of Vaughan. Jane And Major Mackenzie, Close To All Shopping Amenities And More. Basement Has Breakfast Area, Kitchen, 1 Room, Family Room, And Brand New Washroom. Modern Look, Separate Entrance And Laundry, Tenant To Pay 30% Utilities. Students Welcome. 1 Parking Only.**** EXTRAS **** Newly Finished Large Finished Basement With Separate Entrance And Laundry. 1 Parking Only. (30218488)",1 + 1,Other,"#BSMT -36 WINDWARD CRES|Vaughan, Ontario L6A3G5","$1,600/Monthly",Single Family,,1
356,"A New Beautiful Two Bedroom Bsmt Apartment With Separate Entrance. Family-Friendly Neighborhood In West Hill Community! 5 Mins Walking Distance To Transit, Close To University Of Toronto, Centennial College, Park, School, School, Shopping And Many More Amenities.!**** EXTRAS **** S/S Fridge, Stove & Washer/Dryer. Tenant Is Responsible For Tenant Insurance, Snow Removal Of Their Walk Way To The Bsmt. 30% Utilities (Water, Gas, Electricity) (30183726)",2,House,"#BSMT -86 PLUMROSE BLVD|Toronto, Ontario M1E5J7","$1,600/Monthly",Single Family,Freehold,1
357,"Unique, Modern, Fully Renovated, 2 Level Apartment In Upcoming Area. Steps To Lake, Park And Transit. Private Entrance, Parking, Ensuite Laundry. High Ceilings, Pot Lites, Open Concept, Amazing Kitchen W/ Granite Counter & Breakfast Bar, Stainless Steel Appliances. Porcelain Floors, Large Master Bed W/ Sitting Area & 3 Pc Ensuite. Well Laid Out, Good Sized Unit. Rear Entrance From Laneway. Suits Single Professional. Furniture And Basic Kitchen Items Included.**** EXTRAS **** Fridge, Stove, Microwave, Dishwasher, Clothes Washer/Dryer. Utilities Included Except Tenant To Pay Any Hydro Costs Over $75 (Separate Meter),Parking Inc. No Smoking, No Pets Preferred. Landlord Willing To Remove Some Furniture If Requested (30231909)",1,Duplex,"#REAR -1547 KINGSTON RD|Toronto, Ontario M1N1R9","$1,600/Monthly",Single Family,,
358,"Separate Side Entrance 2 Bedroom Basement Apartment. Laundry Ensuite, Eat-In Kitchen, And Spacious Living Area, Large Foyer A Lot Of Space To Storage. Steps From Ttc Bus Stop, Walking Distance To The New Crosstown Ltr Keelesdale St., Banks, Grocery Stores, And More. Fully Renovated Bathroom And Kitchen.Over 20K In Renovations!**** EXTRAS **** White: Fridge, Stove, Washer, Rangehood (30421229)",2,House,"#BSMT -602 CALEDONIA RD W|Toronto, Ontario M6E4V5","$1,600/Monthly",Single Family,Freehold,
359,"Bright, Renovated & Spacious One Bedroom Suite With Ensuite Laundry In The Heart Of North York. Easy Access To Public Transportation, North York's Entertainment Centres, Shops & Restaurants. No Pets, And No Smoking Of Any Kind Inside The Suite And Within 10 Ft Of The Property Lines. The Tenant Pays 1/3 Of The Utility Bills.**** EXTRAS **** Stainless Steel Fridge, Cooktop & Fan Hood, New Backsplash & Granite Counters. All Window Coverings & Electric Light Fixtures. (30410252)",1,Other,"25 HARNISH CRES|Toronto, Ontario M2M2C2","$1,600/Monthly",Single Family,,
360,"Modern 1 Bedroom Apartment Unit In High Demand Mimico Area. Unit Has Never Been Lived In And Is Beautifully Finished. 1 Parking Spot And Utilities Included In The Monthly Rent (Heating, Water And Hydro). Walking Distance To Ttc, Go Train, Highway, Schools, Parks, Shopping.**** EXTRAS **** Existing Fridge, Stove. Use Of Coin Operated Onsite Laundry Machines (30438329)",1,House,Address not available,"$1,600/Monthly",Single Family,Freehold,
361,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Elfs, Fridge, Stove. (29941589)",1,Apartment,"#415 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
362,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Elfs, Fridge, Stove. (29941619)",1,Apartment,"#603 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
363,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943416)",1,Apartment,"#716 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
364,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943436)",1,Apartment,"#718 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
365,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943480)",1,Apartment,"#921 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
366,"*Location-Location-Location* 1 Bedroom And 1 Bathroom Apartment Unit Located In Downtown Area. Close By Victoria Park Subway Station. Walk Away From Library, School, No Frills, Restaurants, Stores, Public Transit, Churches, Taylor Creek Park & More.**** EXTRAS **** Fridge, Stove. (29943506)",1,Apartment,"#1004 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
367,"** Great Location **. Larger Unit 1 Bedroom + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566551)",1,Apartment,"#617 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
368,"** Great Location **. Larger Unit 1 Bedroom + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566555)",1,Apartment,"#1517 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,600/Monthly",Single Family,Condominium/Strata,
369,"A Walkout Basement In High Desirable Community In Markham. 2 Bedrooms ,1 Washroom , 1 Car Parking Space, Backing Onto Park, Excellent Location For Transit,401,407, School, Groceries, Mosque, Temple, Church, Community Center, Hospital & Park And More. New Floors, New Washer And Dryer**** EXTRAS **** Main Floor Is Not Included In This Lease. 30% Of Utilities For Water/Hydro/Gas/Hot Water Tank Also Responsible For Snow Removal, Yard Maintenance. Tenant Insurance Must Required, One Parking Space Included. (30108886)",2,Other,"#BSMT -214 DOUBTFIRE CRES|Markham, Ontario L3S3V7","$1,600/Monthly",Single Family,,1
370,"2 Bedroom Basement Apartment With Separate Entrance. Laminate Floor Through Out The Basement. Privet Laundry. Parking Space Included. Close To Schools Bus Stops And Plaza And Parks.**** EXTRAS **** Stove, Fridge, Washer/Dryer. Tenant To Pay 30% Utilities (Heat, Hydro, Water) One Parking Space Included In The Rent (30282367)",2,Other,Address not available,"$1,600/Monthly",Single Family,,
371,"Location! Location! Location! Perfect Apartment Available For Students Or Professionals. Conveniently Located Public Transit & International Business Accredited School. Private Separate Entrance & Self-Contained Unit With Large Windows For Lots Of Natural Light. Great Neighbourhood With Greats Landlords. Easy Access To Qew, Clarkson Go Station, Community Centre, Shops & Restaurants.**** EXTRAS **** Fridge, Stove, Rangehood, Washer & Dryer. One Parking Space In Driveway. Tenant Responsible For 40% Of Total Utilities(Heat, Hydro, Water). (30147027)",2,House,"#BSMT -1322 PLAYFORD RD|Mississauga, Ontario L5J3V7","$1,600/Monthly",Single Family,Freehold,1
372,"Live in the centre of it all. Walking distance to downtown with a wide variety of entertainment, restaurants, GO Station, hospital and shopping. Large sized sunlit rooms with hardwood flooring, exposed brick & 9 foot ceilings! Plenty of closets/storage. Kitchen has an ample amount of cupboards and hard surfaced counters. Tenants to provide references, letter of employment, credit check & rental application. Room sizes are approximate. (28770752)",1,Apartment,"1 174 John Street S|Hamilton, Ontario L8N2C6","$1,600/Monthly",Single Family,Freehold,0
373,"Large, bright and renovated basement apartment. All Utilities Included. One Bed, One Bath. Unit has its own Separate Entrance, In-Suite Laundry and is conveniently located steps from King Street, Public Transportation, Restaurants, Bars and Key Public Amenities. Ideally suited for a young professionals/student or empty nester. This bright and airy space features: 1 Bedroom with sizeable walk-in closet, Large glass shower with rain shower head, 5 bright windows to provide natural light, Pot lights throughout, Spacious open concept kitchen with full sized refrigerator, New flooring throughout. Prefers No Pets or Smokers. Landlord requests supporting documents be submitted with rental application - employment letter, credit report. Minimum 1 year lease. RS (28866334)",0 + 1,House,"Lower 23 Fairholt Road N|Hamilton, Ontario L8M2S9","$1,600/Monthly",Single Family,Freehold,0
